attack,aggregator,f,cluster_size,seed,final_acc,final_acc_std,rounds,final_asr,k_clusters,dirty_clusters,clean_frac_observed,clean_frac_theory
signflip,mean,0.2,3,1,0.1,0.0,50,,10,5,0.5,0.512
signflip,mean,0.2,3,2,0.1,0.0,50,,10,5,0.5,0.512
signflip,median,0.2,1,0,0.5454,0.0042,50,,30,6,0.8,0.8
signflip,median,0.2,1,1,0.4601,0.0068,50,,30,6,0.8,0.8
signflip,median,0.2,1,2,0.5396,0.0061,50,,30,6,0.8,0.8
signflip,median,0.2,3,0,0.1,0.0,50,,10,5,0.5,0.512
signflip,median,0.2,3,1,0.1,0.0,50,,10,5,0.5,0.512
signflip,median,0.2,3,2,0.1,0.0,50,,10,5,0.5,0.512
signflip,median,0.2,5,0,0.1,0.0,50,,6,4,0.3333,0.3277
signflip,median,0.2,5,1,0.1,0.0,50,,6,5,0.1667,0.3277
signflip,median,0.2,5,2,0.1,0.0,50,,6,4,0.3333,0.3277
signflip,oracle,0.2,3,0,0.6233,0.0053,50,,10,5,0.5,0.512
signflip,oracle,0.2,3,1,0.6095,0.0051,50,,10,5,0.5,0.512
signflip,oracle,0.2,3,2,0.6165,0.0056,50,,10,5,0.5,0.512
signflip,reputation,0.2,3,0,0.5346,0.0185,50,,10,5,0.5,0.512
signflip,reputation,0.2,3,1,0.5785,0.0225,50,,10,5,0.5,0.512
signflip,reputation,0.2,3,2,0.5633,0.0203,50,,10,5,0.5,0.512
signflip,trimmed,0.2,3,0,0.1,0.0,50,,10,5,0.5,0.512
signflip,trimmed,0.2,3,1,0.1,0.0,50,,10,5,0.5,0.512
signflip,trimmed,0.2,3,2,0.1,0.0,50,,10,5,0.5,0.512
signflip,bulyan,0.3,3,0,0.3914,0.0088,50,,10,6,0.4,0.343
signflip,bulyan,0.3,3,1,0.1,0.0,50,,10,7,0.3,0.343
signflip,bulyan,0.3,3,2,0.5697,0.0056,50,,10,5,0.5,0.343
signflip,fedgt,0.3,3,0,0.4942,0.0092,30,,10,6,0.4,0.343
signflip,fedgt,0.3,3,1,0.5181,0.0103,30,,10,7,0.3,0.343
signflip,fedgt,0.3,3,2,0.49,0.0093,30,,10,5,0.5,0.343
signflip,fltrust,0.3,3,0,0.4604,0.0403,50,,10,6,0.4,0.343
signflip,fltrust,0.3,3,1,0.4578,0.0143,50,,10,7,0.3,0.343
signflip,fltrust,0.3,3,2,0.4885,0.0211,50,,10,5,0.5,0.343
signflip,geomedian,0.3,3,0,0.1,0.0,50,,10,6,0.4,0.343
signflip,geomedian,0.3,3,1,0.1,0.0,50,,10,7,0.3,0.343
signflip,geomedian,0.3,3,2,0.3857,0.0021,50,,10,5,0.5,0.343
signflip,krum,0.3,3,0,0.1688,0.0265,50,,10,6,0.4,0.343
signflip,krum,0.3,3,1,0.1,0.0,50,,10,7,0.3,0.343
signflip,krum,0.3,3,2,0.3729,0.0123,50,,10,5,0.5,0.343
signflip,mean,0.3,3,0,0.1,0.0,50,,10,6,0.4,0.343
signflip,mean,0.3,3,1,0.1,0.0,50,,10,7,0.3,0.343
signflip,mean,0.3,3,2,0.1,0.0,50,,10,5,0.5,0.343
signflip,median,0.3,1,0,0.4696,0.0039,50,,30,9,0.7,0.7
signflip,median,0.3,1,1,0.4889,0.0081,50,,30,9,0.7,0.7
signflip,median,0.3,1,2,0.452,0.0039,50,,30,9,0.7,0.7
signflip,median,0.3,3,0,0.1,0.0,50,,10,6,0.4,0.343
signflip,median,0.3,3,1,0.1,0.0,50,,10,7,0.3,0.343
signflip,median,0.3,3,2,0.1,0.0,50,,10,5,0.5,0.343
signflip,median,0.3,5,0,0.1,0.0,50,,6,5,0.1667,0.1681
signflip,median,0.3,5,1,0.1,0.0,50,,6,5,0.1667,0.1681
signflip,median,0.3,5,2,0.1,0.0,50,,6,5,0.1667,0.1681
signflip,oracle,0.3,3,0,0.6177,0.0042,50,,10,6,0.4,0.343
signflip,oracle,0.3,3,1,0.6339,0.0044,50,,10,7,0.3,0.343
signflip,oracle,0.3,3,2,0.6126,0.0064,50,,10,5,0.5,0.343
signflip,reputation,0.3,3,0,0.4638,0.0131,50,,10,6,0.4,0.343
signflip,reputation,0.3,3,1,0.6002,0.0177,50,,10,7,0.3,0.343
signflip,reputation,0.3,3,2,0.5425,0.0287,50,,10,5,0.5,0.343
signflip,trimmed,0.3,3,0,0.1,0.0,50,,10,6,0.4,0.343
signflip,trimmed,0.3,3,1,0.1,0.0,50,,10,7,0.3,0.343
signflip,trimmed,0.3,3,2,0.1,0.0,50,,10,5,0.5,0.343
signflip_hybrid,ov4,0.1,3,0,0.5983,0.0053,50,,10,3,0.7,0.729
signflip_hybrid,ov4,0.1,3,1,0.6113,0.0064,50,,10,3,0.7,0.729
signflip_hybrid,ov4,0.1,3,2,0.6041,0.008,50,,10,3,0.7,0.729
signflip_hybrid,ov4,0.2,3,0,0.5525,0.0082,50,,10,5,0.5,0.512
signflip_hybrid,ov4,0.2,3,1,0.583,0.0045,50,,10,5,0.5,0.512
signflip_hybrid,ov4,0.2,3,2,0.5903,0.0128,50,,10,5,0.5,0.512
signflip_hybrid,ov4,0.3,3,0,0.5513,0.011,50,,10,6,0.4,0.343
signflip_hybrid,ov4,0.3,3,1,0.5943,0.0093,50,,10,7,0.3,0.343
signflip_hybrid,ov4,0.3,3,2,0.5776,0.0096,50,,10,5,0.5,0.343
signflip_hybrid_tf,ov4,0.1,3,0,0.5225,0.0374,50,,10,3,0.7,0.729
signflip_hybrid_tf,ov4,0.1,3,1,0.5125,0.0224,50,,10,3,0.7,0.729
